customer_id,signup_date,segment,region,monthly_fee,churn_month
0,2022-04-24,midmarket,North America,154.65,11
1,2024-09-14,smb,North America,39.4,-1
2,2024-04-15,smb,North America,38.79,9
3,2023-07-15,midmarket,APAC,97.42,-1
4,2023-07-07,enterprise,Europe,372.22,1
5,2024-12-31,midmarket,North America,115.98,-1
6,2022-04-20,smb,North America,35.6,-1
7,2024-06-08,smb,Other,28.54,-1
8,2022-09-15,smb,North America,40.82,-1
9,2022-05-01,midmarket,North America,141.08,10
10,2023-11-03,midmarket,North America,113.67,8
11,2025-05-29,smb,North America,29.45,1
12,2024-07-27,midmarket,APAC,103.57,-1
13,2024-08-29,smb,APAC,24.43,1
14,2024-07-04,midmarket,North America,103.8,-1
15,2024-09-30,midmarket,APAC,95.63,-1
16,2023-10-17,smb,North America,38.61,-1
17,2022-06-13,smb,APAC,27.27,-1
18,2024-12-07,smb,North America,30.82,-1
19,2023-07-29,midmarket,North America,137.58,-1
20,2023-10-01,smb,APAC,32.14,6
21,2023-04-19,smb,APAC,29.13,1
22,2022-08-21,smb,APAC,33.16,-1
23,2025-03-28,smb,Europe,27.34,1
24,2024-09-24,smb,APAC,28.52,4
25,2024-04-01,smb,Europe,31.2,2
26,2023-05-29,midmarket,North America,141.05,12
27,2024-11-15,midmarket,Europe,109.68,-1
28,2023-11-27,smb,Europe,29.43,-1
29,2023-07-20,enterprise,Europe,328.41,-1
30,2023-07-29,enterprise,APAC,360.79,23
31,2022-10-17,smb,Europe,28.85,29
32,2022-04-28,enterprise,North America,478.04,22
33,2023-12-09,smb,North America,35.75,-1
34,2025-02-06,smb,APAC,22.83,1
35,2022-03-23,midmarket,North America,144.47,-1
36,2024-12-31,smb,APAC,26.31,-1
37,2024-11-22,midmarket,North America,129.08,1
38,2022-12-20,smb,North America,34.88,28
39,2024-03-17,smb,APAC,23.6,-1
40,2022-07-30,midmarket,North America,119.33,4
41,2024-08-25,midmarket,APAC,86.25,-1
42,2024-06-12,midmarket,North America,125.12,-1
43,2023-03-29,midmarket,Europe,107.67,16
44,2022-03-28,midmarket,Europe,105.28,30
45,2025-05-23,smb,APAC,29.44,1
46,2023-07-23,midmarket,North America,111.73,1
47,2025-02-13,smb,North America,31.97,-1
48,2024-05-15,midmarket,Europe,116.42,-1
49,2024-09-20,smb,Other,26.55,-1
50,2024-08-27,midmarket,APAC,87.65,1
51,2022-09-06,midmarket,APAC,118.72,1
52,2023-04-10,smb,Europe,32.6,7
53,2023-08-19,midmarket,Europe,93.38,-1
54,2023-09-28,smb,APAC,24.37,1
55,2022-02-25,midmarket,APAC,121.73,5
56,2023-11-29,smb,APAC,26.46,-1
57,2022-07-16,smb,APAC,33.5,1
58,2024-08-06,smb,APAC,23.32,-1
59,2024-05-21,enterprise,North America,358.49,4
60,2025-03-23,midmarket,North America,126.16,-1
61,2024-08-08,midmarket,Other,100.48,-1
62,2023-04-13,midmarket,Europe,96.73,1
63,2025-05-19,midmarket,North America,101.46,-1
64,2023-06-09,smb,Europe,34.43,-1
65,2023-02-20,smb,Europe,33.21,11
66,2025-03-01,smb,APAC,25.28,-1
67,2023-04-18,midmarket,APAC,91.36,1
68,2022-04-08,midmarket,North America,154.29,-1
69,2023-08-23,smb,Europe,28.81,-1
70,2024-10-12,midmarket,North America,108.88,1
71,2022-08-30,midmarket,APAC,99.02,-1
72,2023-08-14,smb,North America,32.76,1
73,2022-06-15,smb,Europe,34.57,10
74,2024-05-25,smb,Europe,29.06,-1
75,2023-08-30,midmarket,Europe,113.09,-1
76,2023-02-26,smb,Europe,31.61,1
77,2022-10-17,midmarket,Europe,101.81,24
78,2023-12-22,midmarket,Europe,119.35,1
79,2024-05-04,smb,North America,35.19,8
80,2025-04-14,midmarket,North America,107.28,-1
81,2023-07-12,smb,Europe,27.45,1
82,2022-07-25,midmarket,North America,138.14,1
83,2024-11-28,enterprise,APAC,329.66,-1
84,2024-03-14,smb,North America,37.05,1
85,2024-06-12,midmarket,APAC,101.73,-1
86,2022-05-05,smb,North America,35.42,10
87,2023-02-03,midmarket,APAC,115.94,-1
88,2024-09-06,smb,North America,31.37,1
89,2024-11-27,midmarket,Europe,94.21,7
90,2023-07-10,midmarket,North America,127.08,-1
91,2024-10-23,smb,Europe,25.3,2
92,2024-12-09,midmarket,North America,113.86,-1
93,2023-05-10,midmarket,APAC,90.94,-1
94,2025-02-19,smb,Europe,31.24,-1
95,2023-01-03,smb,Other,30.29,8
96,2022-11-02,smb,Europe,34.56,-1
97,2024-05-20,smb,Europe,29.79,9
98,2024-03-23,smb,APAC,26.17,-1
99,2022-06-28,smb,North America,43.19,-1
100,2024-11-28,smb,Europe,29.61,-1
101,2022-09-13,midmarket,North America,132.8,6
102,2024-10-24,enterprise,Europe,300.13,-1
103,2022-01-10,smb,North America,36.85,1
104,2024-10-13,smb,North America,32.73,-1
105,2024-10-01,smb,Europe,31.48,1
106,2024-09-22,midmarket,Europe,113.01,-1
107,2024-04-28,midmarket,North America,138.8,1
108,2023-08-25,smb,Europe,31.26,17
109,2024-06-18,smb,APAC,26.93,11
110,2022-12-20,midmarket,North America,141.5,6
111,2024-09-23,smb,North America,32.5,-1
112,2023-12-11,smb,Other,26.94,-1
113,2023-08-09,smb,APAC,30.28,-1
114,2023-10-08,midmarket,North America,114.85,1
115,2023-12-27,smb,Europe,29.24,1
116,2022-02-17,smb,North America,38.34,-1
117,2022-06-28,smb,APAC,31.5,1
118,2022-11-10,enterprise,North America,408.69,-1
119,2022-05-27,smb,North America,36.05,6
120,2023-07-15,smb,North America,33.05,23
121,2024-05-02,midmarket,Europe,114.31,-1
122,2024-04-15,midmarket,North America,134.92,1
123,2023-08-25,smb,APAC,32.25,-1
124,2024-12-27,smb,Europe,32.22,-1
125,2023-12-23,enterprise,Europe,318.9,-1
126,2022-04-12,midmarket,APAC,93.66,34
127,2024-09-03,midmarket,North America,117.73,-1
128,2024-01-04,smb,North America,36.05,16
129,2024-03-20,smb,North America,37.93,1
130,2023-12-23,midmarket,APAC,88.58,-1
131,2023-12-08,midmarket,North America,139.41,-1
132,2022-04-26,midmarket,APAC,100.44,1
133,2023-12-15,smb,Europe,32.04,-1
134,2024-10-11,smb,Europe,32.95,-1
135,2023-01-23,smb,Europe,33.31,1
136,2024-02-09,enterprise,North America,438.27,-1
137,2022-02-09,enterprise,North America,492.1,-1
